env_name,model_type,max_depth,is_reweight,avg_reward,avg_time
CartPole-v1,DDQN,,,500.0,42.808231528000015
CartPole-v1,decision_tree,1,False,15.347,27.38314634782042
CartPole-v1,decision_tree,1,True,41.817,26.831457947724605
CartPole-v1,decision_tree,2,False,127.993,26.432818466634895
CartPole-v1,decision_tree,2,True,268.611,26.185332238813753
CartPole-v1,decision_tree,4,False,469.256,26.632575600525083
CartPole-v1,decision_tree,4,True,253.87,26.392103883877578
CartPole-v1,decision_tree,6,False,399.166,26.72856543392974
CartPole-v1,decision_tree,6,True,284.414,26.650983147805665
CartPole-v1,decision_tree,8,False,448.221,26.254954796852445
CartPole-v1,decision_tree,8,True,320.458,26.6837947937015
CartPole-v1,linear_tree_logistic,1,False,499.281,13.525306959407631
CartPole-v1,linear_tree_logistic,1,True,495.433,13.76291291254317
CartPole-v1,linear_tree_logistic,2,False,500.0,24.43429167
CartPole-v1,linear_tree_logistic,2,True,500.0,19.299409676000003
CartPole-v1,linear_tree_logistic,4,False,500.0,33.27001988800001
CartPole-v1,linear_tree_logistic,4,True,500.0,37.76023835
CartPole-v1,linear_tree_logistic,6,False,499.192,55.88330058574659
CartPole-v1,linear_tree_logistic,6,True,500.0,48.460406854000006
CartPole-v1,linear_tree_logistic,8,False,500.0,50.36306582400002
CartPole-v1,linear_tree_logistic,8,True,499.983,47.22120953712427
CartPole-v1,linear_tree_ridge,1,False,499.74,33.9440139932765
CartPole-v1,linear_tree_ridge,1,True,500.0,33.566142292
CartPole-v1,linear_tree_ridge,2,False,500.0,38.832968406000006
CartPole-v1,linear_tree_ridge,2,True,500.0,44.52665641199999
CartPole-v1,linear_tree_ridge,4,False,500.0,52.99692231400001
CartPole-v1,linear_tree_ridge,4,True,500.0,53.490560380000005
CartPole-v1,linear_tree_ridge,6,False,495.669,73.1275446860707
CartPole-v1,linear_tree_ridge,6,True,441.337,73.82745896446482
CartPole-v1,linear_tree_ridge,8,False,498.652,61.80783337678381
CartPole-v1,linear_tree_ridge,8,True,499.818,67.4300791508109
LunarLander-v2,DDQN,,,257.97097318498697,48.71729765696283
LunarLander-v2,decision_tree,1,False,-111.05651376923721,31.488531062553555
LunarLander-v2,decision_tree,1,True,-149.83875795903845,31.61944361996834
LunarLander-v2,decision_tree,2,False,-41.372615801974085,31.393816209899935
LunarLander-v2,decision_tree,2,True,-45.30685042387595,30.885035322258258
LunarLander-v2,decision_tree,4,False,-225.177638716059,30.79703298202562
LunarLander-v2,decision_tree,4,True,-41.69621506109333,29.71427829429447
LunarLander-v2,decision_tree,6,False,-76.34188085273364,30.548785801110917
LunarLander-v2,decision_tree,6,True,-55.64392645329243,30.62342458621597
LunarLander-v2,decision_tree,8,False,29.449678072210947,30.590556504115828
LunarLander-v2,decision_tree,8,True,44.7752907474666,30.754009318164226
LunarLander-v2,linear_tree_logistic,1,False,190.3454330041142,15.40607466448461
LunarLander-v2,linear_tree_logistic,1,True,206.92360941574321,15.353279254301539
LunarLander-v2,linear_tree_logistic,2,False,197.96499885424205,28.007708104549497
LunarLander-v2,linear_tree_logistic,2,True,194.09030172307192,27.745099776321197
LunarLander-v2,linear_tree_logistic,4,False,184.96476296527982,57.79058308922574
LunarLander-v2,linear_tree_logistic,4,True,252.3305628004297,50.92349638903415
LunarLander-v2,linear_tree_logistic,6,False,205.262064731818,50.03398479183865
LunarLander-v2,linear_tree_logistic,6,True,228.85818422064239,58.21747424060481
LunarLander-v2,linear_tree_logistic,8,False,195.25773616612196,59.50974912251142
LunarLander-v2,linear_tree_logistic,8,True,187.72042998421657,60.38793249658372
LunarLander-v2,linear_tree_ridge,1,False,203.0687355273175,38.130497272992635
LunarLander-v2,linear_tree_ridge,1,True,151.46839886089396,38.243224376359386
LunarLander-v2,linear_tree_ridge,2,False,158.54032241935928,50.531935114035306
LunarLander-v2,linear_tree_ridge,2,True,188.40153224544306,51.196416626690976
LunarLander-v2,linear_tree_ridge,4,False,189.5410048492799,74.0022577340985
LunarLander-v2,linear_tree_ridge,4,True,152.39004018303172,81.5029577756376
LunarLander-v2,linear_tree_ridge,6,False,143.44961585320877,83.88124212861372
LunarLander-v2,linear_tree_ridge,6,True,225.91382678861194,82.67485741068165
LunarLander-v2,linear_tree_ridge,8,False,139.44625342355644,80.30549803303899
LunarLander-v2,linear_tree_ridge,8,True,176.64267899793649,73.06762353912713
Taxi-v3,DDQN,,,7.94,48.295858886346295
Taxi-v3,decision_tree,1,False,-200.0,27.508260715000002
Taxi-v3,decision_tree,1,True,-200.0,27.892358419999994
Taxi-v3,decision_tree,2,False,-200.0,27.45474358
Taxi-v3,decision_tree,2,True,-200.0,27.883908295
Taxi-v3,decision_tree,4,False,-285.986,27.174042335
Taxi-v3,decision_tree,4,True,-574.283,27.292606329999998
Taxi-v3,decision_tree,6,False,-200.0,27.121847929999998
Taxi-v3,decision_tree,6,True,-224.446,27.556378739951352
Taxi-v3,decision_tree,8,False,-101.157,27.339853976852996
Taxi-v3,decision_tree,8,True,-95.01,27.52650810875987
Taxi-v3,linear_tree_logistic,1,False,-346.988,12.949797875000002
Taxi-v3,linear_tree_logistic,1,True,-411.194,12.89530186
Taxi-v3,linear_tree_logistic,2,False,7.736,23.252857282870927
Taxi-v3,linear_tree_logistic,2,True,7.912,23.25770293398533
Taxi-v3,linear_tree_logistic,4,False,7.904,41.45454094960049
Taxi-v3,linear_tree_logistic,4,True,8.002,34.87396515151515
Taxi-v3,linear_tree_logistic,6,False,-266.346,34.27034968777877
Taxi-v3,linear_tree_logistic,6,True,7.743,34.970055936906675
Taxi-v3,linear_tree_logistic,8,False,7.781,34.646758559938725
Taxi-v3,linear_tree_logistic,8,True,7.945,41.72470895574238
Taxi-v3,linear_tree_ridge,1,False,-652.808,33.548228054999996
Taxi-v3,linear_tree_ridge,1,True,-200.0,33.42181031
Taxi-v3,linear_tree_ridge,2,False,-29.122,45.043976837060704
Taxi-v3,linear_tree_ridge,2,True,-418.079,43.994173500082766
Taxi-v3,linear_tree_ridge,4,False,5.558,56.76381138649661
Taxi-v3,linear_tree_ridge,4,True,0.022,70.47090106750053
Taxi-v3,linear_tree_ridge,6,False,-27.136,56.86593480475383
Taxi-v3,linear_tree_ridge,6,True,-35.883,56.85886094003242
Taxi-v3,linear_tree_ridge,8,False,-27.436,56.92353388805573
Taxi-v3,linear_tree_ridge,8,True,-19.088,65.4726088120349
